full_name,H,diameter,albedo,e,a,q,i,n
   120 Lachesis (A872 GB),7.78,155.132,0.058,0.049,3.12,2.967,6.94,0.1789
   121 Hermione (A872 JA),7.39,209.0,0.0482,0.1244,3.458,3.027,7.57,0.1533
   122 Gerda (A872 OA),7.67,70.676,0.297,0.0227,3.226,3.153,1.64,0.1701
   123 Brunhild (A872 OB),8.96,45.209,0.261,0.1199,2.695,2.372,6.41,0.2227
   124 Alkeste (A872 QA),8.05,88.648,0.128,0.0785,2.63,2.423,2.96,0.2311
   125 Liberatrix (A872 RA),8.92,48.418,0.182,0.0815,2.743,2.519,4.66,0.217
   126 Velleda (A872 VA),9.23,44.82,0.1723,0.1061,2.44,2.181,2.92,0.2587
   127 Johanna (A872 VB),8.54,122.0,0.042,0.0633,2.756,2.582,8.24,0.2154
   128 Nemesis (A872 WA),7.68,162.515,0.067,0.1269,2.75,2.401,6.25,0.2161
   129 Antigone (A873 CA),7.02,113.0,0.151,0.2132,2.868,2.256,12.27,0.2029
   130 Elektra (A873 DA),7.46,180.652,0.086,0.2097,3.125,2.47,22.78,0.1784
   131 Vala (A873 KA),10.04,31.337,0.246,0.0695,2.431,2.262,4.96,0.26
   132 Aethra (A873 LA),8.96,42.87,0.199,0.3871,2.612,1.601,24.98,0.2335
   133 Cyrene (A873 QA),8.04,72.175,0.279,0.1295,3.073,2.675,7.24,0.183
   134 Sophrosyne (A873 SA),8.96,108.0,0.0364,0.1153,2.563,2.268,11.61,0.2401
   135 Hertha (A874 DA),8.31,79.24,0.1436,0.2084,2.427,1.921,2.3,0.2606
   136 Austria (A874 FA),9.75,36.893,0.201,0.0853,2.286,2.091,9.58,0.2851
   137 Meliboea (A874 HA),8.33,128.678,0.065,0.21,3.13,2.472,13.41,0.178
   138 Tolosa (A874 KA),9.01,52.905,0.273,0.1625,2.45,2.052,3.2,0.257
   139 Juewa (A874 TA),8.04,151.116,0.052,0.1703,2.786,2.311,10.87,0.2119
   140 Siwa (A874 TB),8.45,109.79,0.0676,0.2182,2.73,2.134,3.19,0.2185
   141 Lumen (A875 AA),8.38,117.916,0.067,0.2129,2.666,2.099,11.9,0.2264
   142 Polana (A875 BA),10.52,54.812,0.047,0.1328,2.419,2.098,2.24,0.2619
   143 Adria (A875 DA),9.32,95.377,0.044,0.0709,2.764,2.568,11.45,0.2145
   144 Vibilia (A875 LA),8.05,142.38,0.0597,0.2354,2.654,2.029,4.82,0.228
   145 Adeona (A875 LB),8.4,127.783,0.061,0.1476,2.671,2.277,12.62,0.2258
   146 Lucina (A875 LC),8.5,160.31,0.036,0.0639,2.721,2.547,13.09,0.2196
   147 Protogeneia (A875 NA),8.72,132.93,0.0492,0.0218,3.137,3.068,1.93,0.1774
   148 Gallia (A875 PA),7.58,97.75,0.164,0.1877,2.771,2.25,25.29,0.2137
   149 Medusa (A875 SA),10.54,23.719,0.152,0.0648,2.175,2.034,0.94,0.3073
   150 Nuwa (A875 UA),8.58,119.128,0.052,0.1244,2.988,2.616,2.2,0.1909
