full_name,H,diameter,albedo,e,a,q,i,n
144501 (2004 EF69),14.86,4.724,0.138,0.2004,3.092,2.472,17.75,0.1813
144503 (2004 EY69),15.99,2.807,0.118,0.182,2.621,2.144,11.0,0.2322
144507 (2004 EZ71),15.32,2.556,0.296,0.2085,2.666,2.11,14.28,0.2264
144508 (2004 EC72),15.67,5.231,0.049,0.071,2.716,2.523,13.43,0.2202
144509 (2004 ER73),15.63,4.524,0.072,0.1009,2.734,2.458,8.6,0.218
144510 (2004 EM75),15.9,3.07,0.09,0.1424,3.138,2.691,4.03,0.1773
144511 (2004 EO75),15.18,4.284,0.055,0.1298,3.119,2.715,11.29,0.1789
144512 (2004 EQ75),15.09,5.805,0.039,0.1354,3.025,2.616,17.47,0.1873
144513 (2004 ES75),15.88,4.883,0.043,0.1441,3.115,2.666,4.06,0.1793
144517 (2004 EN77),16.17,3.476,0.058,0.0825,2.668,2.448,4.49,0.2262
144518 (2004 EF78),15.02,3.996,0.16,0.1385,2.644,2.278,14.24,0.2293
144521 (2004 ED79),15.04,6.856,0.045,0.0454,3.133,2.991,9.07,0.1777
144525 (2004 EF80),15.41,2.593,0.288,0.1113,2.581,2.293,15.35,0.2378
144528 (2004 EF81),14.34,5.441,0.18,0.0229,2.997,2.928,11.55,0.19
144529 (2004 EH81),14.68,6.552,0.071,0.0368,3.151,3.035,22.76,0.1762
144531 (2004 EN82),15.34,3.028,0.176,0.1725,2.626,2.173,13.65,0.2316
144532 (2004 EX82),14.94,6.71,0.057,0.2149,3.039,2.386,16.72,0.1861
144533 (2004 EB83),16.27,3.282,0.06,0.1272,2.602,2.271,4.19,0.2348
144534 (2004 EM83),16.75,1.561,0.182,0.138,2.278,1.963,5.66,0.2867
144539 (2004 EZ85),16.5,3.431,0.045,0.1433,2.572,2.203,4.95,0.239
144541 (2004 EZ93),15.4,4.586,0.077,0.1183,2.967,2.616,5.58,0.1929
144550 (2004 EJ114),15.36,4.336,0.094,0.1848,2.713,2.212,18.14,0.2205
144554 (2004 FP6),15.98,4.518,0.045,0.1058,2.581,2.308,11.45,0.2378
144556 (2004 FT8),15.17,4.82,0.083,0.12,3.171,2.79,21.72,0.1745
144563 (2004 FV12),16.21,1.963,0.2,0.0894,2.267,2.064,4.84,0.2888
144565 (2004 FH13),15.46,5.172,0.06,0.1576,2.775,2.338,7.24,0.2132
144566 (2004 FT13),16.16,4.047,0.052,0.0494,2.732,2.597,5.45,0.2182
144567 (2004 FE14),16.04,3.037,0.092,0.0868,2.619,2.391,18.55,0.2326
144568 (2004 FN14),15.95,3.947,0.078,0.249,2.844,2.136,8.08,0.2055
144569 (2004 FO14),15.51,5.25,0.053,0.1359,3.01,2.601,1.92,0.1887
144573 (2004 FG21),15.17,5.501,0.07,0.1055,3.149,2.817,4.95,0.1763
144584 (2004 FV35),14.37,7.724,0.062,0.055,3.248,3.069,22.34,0.1684
144586 (2004 FP38),14.73,2.945,0.268,0.1556,2.582,2.181,8.93,0.2375
144590 (2004 FM41),16.3,2.727,0.104,0.2458,2.453,1.85,8.9,0.2565
144592 (2004 FG42),16.16,3.58,0.042,0.0835,2.767,2.536,6.78,0.2141
144596 (2004 FR44),16.85,1.467,0.188,0.1255,2.263,1.979,4.17,0.2895
144597 (2004 FS44),14.86,6.057,0.069,0.0277,3.174,3.086,9.78,0.1743
144598 (2004 FY44),14.87,6.047,0.058,0.1108,3.16,2.809,17.06,0.1755
144599 (2004 FZ44),15.88,4.274,0.051,0.146,2.784,2.378,5.26,0.2121
144606 (2004 FF50),14.86,6.256,0.064,0.2262,3.177,2.458,12.9,0.1741
144610 (2004 FV52),15.57,3.108,0.152,0.0966,2.684,2.425,10.66,0.2241
144612 (2004 FD56),16.43,3.863,0.036,0.1297,2.807,2.443,4.04,0.2095
144613 (2004 FJ58),15.6,3.889,0.053,0.182,3.173,2.596,1.92,0.1744
144615 (2004 FD62),15.79,5.051,0.03,0.135,2.675,2.314,3.05,0.2252
144617 (2004 FD63),16.18,3.333,0.076,0.1214,2.565,2.254,9.94,0.2399
144624 (2004 FP68),15.61,5.27,0.058,0.1742,3.012,2.487,3.56,0.1886
144626 (2004 FG70),15.54,5.485,0.045,0.009,3.241,3.212,2.15,0.169
144627 (2004 FK71),16.55,3.145,0.054,0.2284,2.646,2.042,3.16,0.229
144629 (2004 FJ77),15.52,2.977,0.151,0.1796,3.05,2.503,11.66,0.185
144633 Georgecarroll (2004 FH80),15.33,3.362,0.156,0.1528,2.609,2.211,12.86,0.2339
144639 (2004 FH93),15.95,3.992,0.058,0.1091,2.62,2.334,5.69,0.2324
144640 (2004 FO93),15.81,3.811,0.077,0.0303,2.778,2.694,5.7,0.2128
144643 (2004 FV97),15.44,4.849,0.062,0.1854,2.735,2.228,9.39,0.218
144646 (2004 FB102),15.69,4.642,0.057,0.0715,2.78,2.581,6.26,0.2127
144648 (2004 FH105),14.64,6.286,0.078,0.1871,3.208,2.608,26.47,0.1715
144649 (2004 FO105),15.42,2.474,0.219,0.1052,2.565,2.295,13.25,0.2399
144650 (2004 FX105),15.24,2.642,0.277,0.109,2.752,2.452,10.49,0.2158
144652 (2004 FF106),15.15,6.029,0.044,0.0851,3.211,2.938,12.17,0.1713
144661 (2004 FU117),15.85,5.028,0.044,0.0409,2.795,2.681,4.55,0.2109
144663 (2004 FT121),17.03,2.144,0.08,0.1038,2.29,2.052,2.68,0.2844
144667 (2004 FQ127),15.61,4.102,0.066,0.123,3.248,2.849,1.71,0.1684
144669 (2004 FN129),16.59,3.46,0.049,0.2068,2.348,1.863,10.51,0.2739
144670 (2004 FB130),15.13,3.528,0.098,0.1536,2.795,2.365,13.56,0.211
144671 (2004 FE130),14.68,7.825,0.055,0.0579,3.175,2.991,18.24,0.1742
144672 (2004 FS130),14.27,8.067,0.068,0.1907,3.12,2.525,26.47,0.1789
144673 (2004 FA131),14.31,7.972,0.07,0.1306,3.171,2.757,28.31,0.1746
144675 (2004 FZ132),15.09,5.87,0.062,0.0802,3.064,2.818,16.34,0.1838
144676 (2004 FU134),15.01,6.402,0.052,0.1457,2.969,2.537,19.66,0.1926
144678 (2004 FG137),16.6,3.195,0.048,0.2363,2.393,1.828,5.25,0.2662
144686 (2004 FG144),14.67,8.245,0.043,0.11,3.115,2.772,11.96,0.1793
144689 (2004 FD146),14.72,6.789,0.067,0.1703,3.23,2.68,2.62,0.1698
144690 (2004 FV147),14.64,7.045,0.068,0.0417,3.055,2.928,21.8,0.1846
144695 (2004 GY2),14.52,7.012,0.075,0.1678,2.773,2.308,32.65,0.2135
144700 (2004 GF13),15.78,4.142,0.065,0.1391,2.851,2.455,3.6,0.2047
144701 (2004 GF14),15.82,3.801,0.077,0.1373,2.622,2.262,7.88,0.2321
144707 (2004 GG18),15.06,5.812,0.063,0.1081,2.972,2.651,22.52,0.1924
144708 (2004 GM18),14.85,4.078,0.168,0.0626,3.094,2.9,11.65,0.1811
144711 (2004 GV21),15.86,4.457,0.056,0.2294,2.757,2.124,8.25,0.2153
144712 (2004 GN22),16.11,2.845,0.095,0.1577,2.912,2.453,2.33,0.1983
144715 (2004 GN26),15.65,3.727,0.088,0.0908,2.87,2.61,10.93,0.2027
144719 (2004 GC31),15.42,3.086,0.169,0.125,3.002,2.627,10.66,0.1895
144722 (2004 GL34),15.2,2.767,0.277,0.0491,2.656,2.526,14.07,0.2277
144730 (2004 GZ38),14.75,5.028,0.111,0.185,3.197,2.605,12.28,0.1724
144732 (2004 GN40),15.76,3.697,0.082,0.1263,3.159,2.76,0.43,0.1756
144735 (2004 GB42),16.26,3.393,0.056,0.1256,2.742,2.398,2.63,0.217
144736 (2004 GG42),15.89,4.615,0.052,0.0273,2.766,2.691,6.45,0.2142
144739 (2004 GM50),15.91,2.786,0.109,0.128,2.881,2.512,4.13,0.2015
144740 (2004 GU51),15.86,4.666,0.043,0.2094,3.123,2.469,2.62,0.1786
144741 (2004 GL59),15.35,4.085,0.116,0.2514,3.081,2.307,3.67,0.1822
144755 (2004 HO3),14.79,7.157,0.045,0.0687,3.114,2.9,17.19,0.1794
144763 (2004 HU11),15.24,4.471,0.097,0.1844,3.108,2.535,13.08,0.1799
144764 (2004 HB16),15.08,5.943,0.06,0.053,2.95,2.793,13.03,0.1946
144766 (2004 HS17),15.21,3.442,0.163,0.0933,2.966,2.689,9.98,0.193
144767 (2004 HR19),15.9,3.312,0.077,0.1576,3.056,2.574,2.97,0.1845
144768 (2004 HB20),15.54,2.692,0.222,0.1237,2.642,2.315,15.39,0.2295
144772 (2004 HB25),15.78,4.596,0.044,0.1034,3.002,2.691,3.28,0.1895
144776 (2004 HN26),15.99,3.772,0.059,0.1245,2.615,2.289,12.71,0.2331
144778 (2004 HA28),15.01,5.821,0.069,0.1532,3.107,2.632,18.35,0.1799
144780 (2004 HJ29),15.99,4.135,0.049,0.0996,2.95,2.657,7.75,0.1945
144783 (2004 HO30),15.08,3.741,0.152,0.171,3.062,2.538,10.63,0.1839
144785 (2004 HC31),15.7,3.5,0.091,0.1905,2.562,2.074,12.2,0.2404
144790 (2004 HT43),15.44,5.433,0.06,0.1217,2.998,2.633,10.7,0.1898
144792 (2004 HD46),14.54,7.325,0.063,0.2079,3.205,2.538,25.93,0.1718
144795 (2004 HV47),15.22,5.428,0.066,0.1769,2.616,2.154,10.91,0.2329
144796 (2004 HV48),15.51,3.339,0.1,0.1033,3.05,2.735,10.16,0.185
144797 (2004 HM49),14.62,6.417,0.075,0.1583,3.355,2.824,9.31,0.1604
144798 (2004 HX50),15.73,3.643,0.07,0.1842,2.547,2.078,26.75,0.2425
144802 (2004 HH55),14.68,7.137,0.05,0.2255,3.143,2.434,17.31,0.1769
144803 (2004 HL56),13.96,8.653,0.078,0.1711,3.167,2.625,27.0,0.1749
144805 (2004 HD59),15.41,6.888,0.026,0.0467,3.246,3.094,8.74,0.1686
144806 (2004 HC61),15.82,5.48,0.04,0.2036,3.041,2.422,5.47,0.1859
144808 (2004 HD64),15.72,4.393,0.058,0.219,2.612,2.04,13.92,0.2334
144809 (2004 HV72),15.73,4.055,0.062,0.1712,3.218,2.667,2.69,0.1707
144811 (2004 HK74),15.7,2.766,0.192,0.0835,2.733,2.505,7.23,0.2182
144812 (2004 JX),15.51,4.359,0.085,0.0336,3.094,2.99,8.48,0.1811
144813 (2004 JU1),15.13,4.82,0.083,0.0708,3.017,2.804,7.71,0.1881
144817 (2004 JB5),15.44,4.224,0.09,0.059,3.083,2.902,11.37,0.182
144820 (2004 JW5),15.37,4.527,0.065,0.0678,2.61,2.433,27.05,0.2338
144821 (2004 JB6),15.64,4.65,0.052,0.1921,2.344,1.894,26.61,0.2746
144826 (2004 JP15),16.88,2.546,0.068,0.116,2.368,2.094,3.82,0.2704
144828 (2004 JL16),15.91,3.883,0.074,0.1603,2.753,2.312,7.78,0.2157
144832 (2004 JE23),15.52,5.248,0.044,0.1163,3.051,2.696,2.35,0.1849
144834 (2004 JR24),15.88,4.718,0.055,0.1283,2.656,2.315,10.58,0.2277
144836 (2004 JR28),15.39,5.207,0.065,0.1924,2.678,2.162,11.65,0.225
144839 (2004 JJ31),15.39,3.256,0.171,0.231,2.608,2.006,12.43,0.234
144840 (2004 JX35),12.53,11.932,0.179,0.0509,5.342,5.07,4.34,0.07982
144841 (2004 JB37),15.32,5.692,0.05,0.0927,3.105,2.818,9.23,0.1801
144842 (2004 JF37),15.12,6.984,0.04,0.1474,3.236,2.759,4.57,0.1693
144852 (2004 KU7),15.29,4.521,0.095,0.0743,3.074,2.846,8.85,0.1829
144862 (2004 LK13),14.91,6.622,0.053,0.2581,3.051,2.263,9.3,0.185
144863 (2004 LW13),15.29,3.163,0.212,0.0728,2.97,2.754,10.16,0.1926
144864 (2004 LC15),15.62,4.406,0.069,0.1946,2.575,2.074,13.47,0.2385
144865 (2004 LD15),14.43,4.29,0.183,0.1392,3.165,2.724,18.52,0.1751
144868 (2004 LW29),15.28,3.359,0.157,0.0153,3.079,3.032,9.72,0.1825
144871 (2004 NN1),15.88,3.719,0.061,0.2072,3.13,2.482,1.74,0.178
144872 (2004 NN12),15.02,3.321,0.169,0.1262,3.013,2.633,11.31,0.1885
144873 (2004 NT19),14.83,4.286,0.152,0.0925,3.087,2.801,16.54,0.1817
144876 (2004 OB1),14.91,3.529,0.205,0.1079,2.962,2.643,12.61,0.1933
144877 (2004 OS5),15.2,3.692,0.142,0.1006,3.088,2.778,10.17,0.1816
144878 (2004 RO13),14.55,5.599,0.098,0.1891,3.191,2.588,14.8,0.1729
144881 (2004 RM99),15.19,6.083,0.04,0.0494,3.119,2.965,6.28,0.179
144884 (2004 RQ113),16.26,4.301,0.035,0.1026,2.676,2.401,3.08,0.2252
144885 (2004 RH116),14.57,6.833,0.066,0.1275,3.367,2.937,9.53,0.1595
144887 (2004 RD165),14.91,4.75,0.094,0.0482,3.183,3.03,12.15,0.1735
144894 (2004 SY5),14.1,9.788,0.051,0.1436,3.933,3.368,2.06,0.1264
144899 (2004 VX34),16.01,4.029,0.052,0.0664,2.548,2.379,11.59,0.2423
144901 (2004 WG1),17.54,2.24,0.038,0.5216,1.64,0.785,13.03,0.4692
144903 (2004 XD22),15.24,5.115,0.074,0.1602,2.779,2.334,14.04,0.2127
144904 (2004 XD26),15.92,3.33,0.101,0.0845,2.727,2.497,5.81,0.2188
144905 (2004 XY27),16.15,4.096,0.046,0.0898,2.673,2.433,3.21,0.2256
144907 Whitehorne (2004 YS3),16.15,2.894,0.084,0.1106,2.963,2.636,0.5,0.1932
144912 (2005 AY32),15.69,4.265,0.067,0.1027,3.078,2.762,0.68,0.1825
144913 (2005 AB39),15.62,3.101,0.139,0.0769,2.969,2.741,11.44,0.1926
144916 (2005 AY69),15.88,4.122,0.055,0.1588,2.975,2.503,1.97,0.1921
144919 (2005 BA27),16.36,1.459,0.33,0.1099,1.962,1.746,22.33,0.3586
144924 (2005 CX48),14.93,7.894,0.042,0.2284,2.763,2.132,17.88,0.2146
144940 (2005 EO19),16.2,2.605,0.086,0.2651,2.66,1.955,7.48,0.2272
144943 (2005 EG24),16.12,3.872,0.043,0.2319,2.317,1.779,10.48,0.2795
144947 (2005 ES31),15.43,3.031,0.16,0.238,3.139,2.392,17.0,0.1772
144948 (2005 EB32),15.68,1.934,0.248,0.1792,2.787,2.287,13.41,0.2119
144955 (2005 ER45),15.84,4.841,0.052,0.1899,2.713,2.198,5.15,0.2206
144967 (2005 EX92),15.7,1.851,0.391,0.1439,2.436,2.085,6.33,0.2593
144968 (2005 EY93),14.93,6.867,0.059,0.2144,3.143,2.469,26.32,0.1769
144980 (2005 EK139),16.22,3.808,0.048,0.1439,2.67,2.286,2.76,0.2259
144991 (2005 EH182),15.4,4.94,0.066,0.1909,2.743,2.219,7.96,0.217
144999 (2005 EJ199),15.74,4.178,0.082,0.1783,2.812,2.31,7.6,0.209
145005 (2005 ES212),15.65,2.287,0.234,0.1378,2.665,2.298,14.63,0.2266
145007 (2005 ER219),15.41,2.331,0.247,0.1951,2.749,2.213,10.93,0.2162
145011 (2005 ET236),15.53,2.549,0.226,0.1643,2.614,2.185,14.55,0.2332
145012 (2005 EU236),14.6,3.843,0.228,0.4033,3.053,1.822,18.24,0.1848
145019 (2005 EB250),15.52,3.33,0.132,0.189,2.633,2.136,5.7,0.2306
145022 (2005 EC259),17.34,1.817,0.071,0.132,2.393,2.077,1.43,0.2663
145045 (2005 FP7),16.26,1.999,0.176,0.1647,2.447,2.044,7.91,0.2576
145047 (2005 GW3),16.02,3.9,0.061,0.097,2.749,2.482,8.89,0.2163
145051 (2005 GT10),16.24,3.063,0.068,0.0628,2.532,2.373,7.35,0.2446
145053 (2005 GX11),15.54,3.629,0.112,0.0984,2.744,2.474,10.75,0.2168
145057 (2005 GM13),15.4,2.188,0.307,0.1664,2.766,2.306,12.39,0.2142
145059 (2005 GL20),15.99,2.729,0.125,0.2343,2.677,2.049,3.95,0.2251
145064 (2005 GD23),15.67,5.314,0.052,0.1846,2.696,2.199,12.22,0.2226
145066 (2005 GJ26),16.23,3.404,0.067,0.1938,2.694,2.172,2.19,0.2229
145074 (2005 GO33),16.23,1.874,0.181,0.2468,2.285,1.721,8.62,0.2854
145093 (2005 GS73),15.69,2.155,0.24,0.0838,2.65,2.428,14.75,0.2285
145095 (2005 GB74),15.3,4.663,0.081,0.1252,3.058,2.675,15.91,0.1843
145098 (2005 GJ86),15.81,4.087,0.067,0.1875,2.8,2.275,8.69,0.2104
145101 (2005 GM88),16.37,2.959,0.067,0.0639,2.693,2.521,7.07,0.223
145105 (2005 GW101),16.3,3.378,0.062,0.1148,2.456,2.174,5.49,0.2561
145108 (2005 GB113),16.05,1.841,0.173,0.1817,2.613,2.138,15.04,0.2333
145115 (2005 GP124),15.7,2.577,0.202,0.1856,2.541,2.069,14.72,0.2433
145117 (2005 GV129),16.37,1.53,0.274,0.2484,2.573,1.934,5.65,0.2388
145128 (2005 GG149),15.94,4.753,0.037,0.0813,2.772,2.547,5.36,0.2136
145132 (2005 GZ157),16.43,3.217,0.052,0.1829,2.68,2.189,4.37,0.2247
145133 (2005 GO158),16.59,2.167,0.095,0.222,2.612,2.032,4.36,0.2334
145134 (2005 GU160),15.96,1.883,0.238,0.2246,2.688,2.084,10.93,0.2237
145137 (2005 GW162),14.92,5.684,0.072,0.1927,3.049,2.461,14.35,0.1852
145141 (2005 GF168),16.59,3.036,0.053,0.1513,2.526,2.144,4.72,0.2455
145147 (2005 GD175),15.18,2.73,0.26,0.2965,2.598,1.828,3.34,0.2354
145151 (2005 GH179),15.06,3.634,0.134,0.2534,3.038,2.268,15.15,0.1862
145154 (2005 GD201),16.86,1.823,0.111,0.2674,2.573,1.885,12.48,0.2387
145156 (2005 HO),16.58,2.702,0.067,0.1915,2.62,2.118,4.88,0.2324
145164 (2005 HA7),15.57,4.012,0.076,0.1085,2.62,2.335,6.86,0.2324
145165 (2005 HS7),16.0,2.61,0.124,0.2038,2.45,1.951,6.72,0.257
145176 (2005 JJ5),15.68,2.315,0.25,0.1418,2.628,2.255,12.87,0.2314
145180 (2005 JA20),15.87,3.742,0.066,0.1775,2.655,2.183,12.64,0.2279
145188 (2005 JJ24),16.16,2.284,0.135,0.0882,2.712,2.473,4.24,0.2207
145192 (2005 JO27),15.47,2.33,0.271,0.1969,2.732,2.194,14.52,0.2182
145194 (2005 JM29),15.44,2.774,0.191,0.1663,2.653,2.212,12.08,0.2281
145196 (2005 JX31),15.37,2.476,0.288,0.0709,2.673,2.483,14.25,0.2256
145197 (2005 JY31),16.17,3.266,0.072,0.0453,2.621,2.502,2.55,0.2323
145199 (2005 JQ32),14.97,5.803,0.069,0.2162,3.184,2.496,13.15,0.1735
145208 (2005 JJ38),15.25,5.815,0.052,0.2791,2.635,1.9,11.39,0.2304
145212 (2005 JY43),15.44,2.109,0.33,0.179,2.644,2.171,12.2,0.2292
145214 (2005 JF44),15.19,5.74,0.054,0.2582,2.66,1.974,9.98,0.2271
145218 (2005 JH49),15.91,3.516,0.067,0.3492,2.599,1.691,6.19,0.2353
145220 (2005 JC56),14.75,6.397,0.082,0.1308,3.159,2.745,20.22,0.1756
145221 (2005 JT57),16.26,3.569,0.055,0.0141,2.721,2.683,4.36,0.2196
145222 (2005 JY60),16.02,4.222,0.047,0.2329,2.806,2.153,7.17,0.2097
145224 (2005 JR63),15.58,4.238,0.075,0.0444,2.651,2.533,26.41,0.2284
145226 (2005 JE67),15.52,2.129,0.296,0.2015,2.64,2.108,14.77,0.2297
145227 (2005 JG67),15.45,2.546,0.172,0.1211,2.73,2.399,11.89,0.2185
145231 (2005 JX77),15.32,5.964,0.041,0.1787,3.187,2.618,9.22,0.1732
145233 (2005 JB80),15.98,3.128,0.079,0.1997,2.985,2.389,0.97,0.1911
145236 (2005 JY84),16.99,1.991,0.071,0.1138,2.551,2.261,2.89,0.2418
145240 (2005 JN91),16.16,3.023,0.084,0.1417,2.639,2.265,3.49,0.2299
145245 (2005 JX102),15.29,2.894,0.175,0.2567,3.052,2.269,9.25,0.1849
145250 (2005 JN112),16.15,3.427,0.06,0.2097,2.783,2.199,9.3,0.2123
145255 (2005 JB122),15.87,4.763,0.04,0.1592,2.673,2.248,16.52,0.2255
145256 (2005 JL125),15.29,5.748,0.057,0.0781,3.131,2.886,11.39,0.1779
145257 (2005 JQ127),15.43,2.971,0.182,0.0956,3.003,2.716,11.13,0.1894
145258 (2005 JT127),15.99,3.271,0.087,0.1824,2.61,2.134,5.38,0.2338
145259 (2005 JA128),14.61,6.143,0.066,0.1253,3.05,2.668,15.15,0.185
145260 (2005 JJ128),15.67,2.306,0.191,0.1647,2.66,2.221,16.15,0.2272
145263 (2005 JB133),16.09,1.457,0.436,0.3078,2.576,1.783,5.38,0.2384
145264 (2005 JF133),16.04,2.722,0.104,0.1175,2.722,2.402,5.3,0.2195
145266 (2005 JE134),15.11,2.4,0.336,0.2004,2.614,2.09,14.09,0.2332
145268 (2005 JZ136),15.63,5.154,0.038,0.2002,3.157,2.525,9.93,0.1757
145269 (2005 JC138),15.29,6.189,0.038,0.2363,3.139,2.397,11.36,0.1772
145272 (2005 JE139),15.22,6.088,0.043,0.1692,3.099,2.575,26.29,0.1806
145273 (2005 JH139),15.61,2.474,0.219,0.1394,2.725,2.345,11.0,0.2191
145275 (2005 JN140),15.53,1.886,0.343,0.177,2.6,2.14,14.93,0.2351
145277 (2005 JQ146),15.27,5.601,0.06,0.2048,2.689,2.138,12.94,0.2236
145280 (2005 JS147),15.44,5.122,0.054,0.1889,2.687,2.18,12.08,0.2237
145282 (2005 JM160),15.74,3.236,0.106,0.074,2.987,2.766,11.04,0.1909
145293 (2005 KE),14.97,5.542,0.07,0.2259,2.649,2.051,15.5,0.2286
145294 (2005 KX2),14.13,9.394,0.05,0.288,3.131,2.229,21.93,0.1779
145301 (2005 KY8),15.7,2.232,0.224,0.2836,2.659,1.905,13.68,0.2273
145311 (2005 LH1),15.01,2.602,0.344,0.1981,2.706,2.17,11.81,0.2214
145312 (2005 LB3),14.94,5.125,0.066,0.1754,3.055,2.519,16.18,0.1845
145313 (2005 LK3),14.99,2.958,0.292,0.2714,2.662,1.94,11.93,0.2269
145316 (2005 LV5),15.91,3.577,0.072,0.117,2.727,2.408,4.29,0.2188
145322 (2005 LP22),15.87,3.834,0.044,0.189,3.105,2.518,1.49,0.1801
145323 (2005 LR22),15.11,7.191,0.045,0.1605,3.087,2.592,7.58,0.1817
145325 (2005 LG28),15.6,4.139,0.086,0.1402,2.85,2.45,8.03,0.2049
145329 (2005 LH38),15.87,3.965,0.071,0.2275,2.57,1.985,13.41,0.2392
145332 (2005 LT45),15.63,2.235,0.245,0.175,2.65,2.186,13.98,0.2285
145335 (2005 LM50),16.18,2.557,0.142,0.2457,2.566,1.936,12.46,0.2397
145336 (2005 LM52),15.59,4.477,0.073,0.0153,2.597,2.557,27.86,0.2355
145339 (2005 MD3),14.83,6.592,0.049,0.1303,3.151,2.74,11.5,0.1762
145348 (2005 MJ15),15.09,5.326,0.052,0.0697,3.421,3.182,10.3,0.1558
145349 (2005 MS15),16.45,2.538,0.063,0.1714,2.805,2.324,0.72,0.2098
145352 (2005 MF21),15.26,5.532,0.048,0.1318,3.074,2.669,9.35,0.1828
145354 (2005 MY21),15.4,4.16,0.071,0.1855,3.198,2.605,2.68,0.1723
145355 (2005 MM22),15.59,3.531,0.089,0.0906,3.006,2.734,8.62,0.1891
145357 (2005 ME25),14.97,4.096,0.115,0.1999,3.146,2.517,12.13,0.1767
145361 (2005 MF29),15.39,5.408,0.05,0.0755,3.17,2.93,8.91,0.1747
145364 (2005 MB35),15.17,5.319,0.068,0.2948,2.637,1.86,13.34,0.2301
145365 (2005 MT35),15.72,3.765,0.095,0.0742,2.876,2.663,6.83,0.2021
145366 (2005 MP39),15.6,4.585,0.053,0.181,3.11,2.547,1.72,0.1797
145372 (2005 MZ44),16.74,2.6,0.066,0.17,2.547,2.114,3.61,0.2425
145375 (2005 NK4),16.81,1.941,0.118,0.1333,2.231,1.934,3.16,0.2957
145376 (2005 NA6),14.31,7.91,0.082,0.2143,3.046,2.393,23.12,0.1854
145377 (2005 NJ6),15.43,3.023,0.161,0.0798,2.906,2.674,5.01,0.199
145383 (2005 NE14),15.53,4.345,0.065,0.0685,3.105,2.893,3.25,0.1801
145392 (2005 NS39),15.12,5.065,0.083,0.0361,2.902,2.797,18.86,0.1994
145398 (2005 NH54),16.38,2.848,0.066,0.0449,2.684,2.564,2.7,0.2241
145401 (2005 NL70),15.13,5.592,0.068,0.1448,3.157,2.7,6.25,0.1757
145407 (2005 NN83),15.59,4.888,0.056,0.074,2.902,2.687,4.38,0.1994
145409 (2005 NT86),15.73,5.576,0.036,0.0661,2.915,2.723,9.23,0.198
145415 (2005 OW14),15.26,5.741,0.059,0.1818,3.091,2.529,8.88,0.1814
145417 (2005 PC2),13.87,10.293,0.061,0.2585,3.967,2.941,8.81,0.1248
145420 (2005 PP17),14.9,5.884,0.067,0.1567,3.173,2.676,17.65,0.1744
145423 (2005 QQ4),15.39,5.39,0.046,0.1616,3.106,2.604,2.83,0.1801
145425 (2005 QP39),15.08,4.97,0.103,0.0041,2.933,2.921,10.84,0.1962
145426 (2005 QS48),13.1,14.043,0.068,0.2758,3.955,2.864,11.3,0.1253
145427 (2005 QE52),15.7,3.877,0.074,0.1203,3.046,2.679,2.21,0.1854
145428 (2005 QP64),15.04,5.082,0.075,0.0556,3.387,3.198,3.36,0.1581
145432 (2005 QJ78),17.29,1.995,0.064,0.1504,2.291,1.946,2.1,0.2842
145435 (2005 QU87),15.14,3.648,0.16,0.0874,3.084,2.815,8.72,0.182
145440 (2005 QU143),14.54,7.486,0.06,0.1392,3.1,2.669,16.25,0.1806
145442 (2005 QB160),15.19,3.617,0.162,0.0509,2.994,2.842,11.14,0.1902
145446 (2005 RN10),14.97,5.862,0.068,0.2104,3.139,2.479,22.54,0.1772
145448 (2005 RJ26),15.07,5.944,0.06,0.1122,3.111,2.762,5.41,0.1796
145450 (2005 RM31),14.71,7.855,0.05,0.2304,3.141,2.417,10.88,0.1771
145454 (2005 SL3),15.48,2.393,0.257,0.1712,3.043,2.522,1.97,0.1857
145456 Sab (2005 SA5),14.15,8.545,0.067,0.0679,3.224,3.005,21.14,0.1703
145457 (2005 SE5),15.6,3.723,0.073,0.145,3.081,2.634,2.48,0.1823
145458 (2005 SF22),14.56,9.179,0.035,0.1977,3.142,2.521,10.4,0.1769
145468 (2005 SH173),15.74,4.325,0.05,0.1593,3.197,2.687,4.4,0.1725
145471 (2005 ST234),15.45,4.433,0.068,0.158,3.065,2.58,1.81,0.1837
145472 (2005 SD256),14.98,5.737,0.071,0.1258,3.146,2.75,4.04,0.1766
145473 (2005 SL262),14.46,7.322,0.063,0.1971,3.927,3.153,8.4,0.1267
145481 (2005 UA72),15.0,6.395,0.052,0.0483,3.09,2.941,8.37,0.1814
145482 (2005 UD130),15.25,6.516,0.046,0.1093,3.094,2.756,12.74,0.1811
145484 (2005 UV273),15.29,3.957,0.103,0.0399,3.114,2.99,8.9,0.1793
145486 (2005 UJ438),10.87,20.8,0.215,0.5325,17.6,8.228,3.8,0.01335
145490 (2005 VB102),15.08,4.003,0.133,0.0813,3.097,2.845,9.06,0.1808
145496 (2005 WQ113),13.85,9.822,0.066,0.086,3.336,3.049,24.85,0.1618
145499 (2006 BV33),15.4,5.168,0.055,0.1424,3.09,2.65,4.32,0.1814
145502 (2006 BA191),15.92,3.689,0.068,0.1474,2.982,2.542,5.75,0.1914
145505 (2006 BN258),15.42,3.2,0.131,0.0261,2.917,2.841,9.71,0.1978
145506 (2006 DH10),15.64,3.622,0.085,0.1306,2.742,2.384,3.58,0.2171
